ID,Name,Description,Startdate,Enddate,Venue,Url,Type0,Type1,Type2
1,Идиоты,,1.06.2013 20:00,,Гоголь-центр,http://www.afisha.ru/msk/schedule_performance_product/94249/,Театр,,
2,Идиоты,,2.06.2013 20:00,,Гоголь-центр,http://www.afisha.ru/msk/schedule_performance_product/94249/,Театр,,
3,Идиоты,,28.06.2013 20:00,,Гоголь-центр,http://www.afisha.ru/msk/schedule_performance_product/94249/,Театр,,
4,Ahmad Tea Music Festival,"Alt-J, Hot Chip, Citizens, The 2 Bears (все - Великобритания)",1.06.2013 16:00,,Сад Эрмитаж,http://www.afisha.ru/concert/859971/,Фестиваль,,
5,World Press Photo 2013,,21.05.2013 08:00,30.06.2013 20:00,Красный октябрь,http://www.afisha.ru/exhibition/84654/,Выставка,Фото,
6,1/2 Orchestra,,7.06.2013 22:00,,Мастерская,http://www.afisha.ru/concert/897142/,Концерт,Джаз,Фанк
7,OrangeJuice,,7.06.2013 21:00,,Bilingua,http://www.afisha.ru/msk/schedule_concert/07-06-2013/#cHJvY0dlbnJlRmlsdGVyPTEyNDQ5fNCk0LDQvdC6,Концерт,Джаз,Босса-нова
8,Дикая мята-2013,,7.06.2013,9.06.2013,Этномир,http://www.mintmusic.ru,Фестиваль,Музыка,
9,Зеленая неделя-2013,,3.06.2013,9.06.2013,Парк Горького,http://www.park-gorkogo.com/greenweek/,Фестиваль,,
10,Alisa Franka,,6.06.2013 21:10,,Парк Горького,http://www.afisha.ru/concert/897558/,Концерт,Фолк,Трип-хоп
11,Anadi Nad,,6.06.2013 20:30,,Парк Горького,http://www.afisha.ru/concert/897559/,Концерт,Этно,
12,Teenage,,6.06.2013 20:00,,Формула кино Горизонт,http://2013.beatfilmfestival.ru/movies/teenage/,Кинопоказ,Документальное,
13,Teenage,,9.06.2013 17:00,,Формула кино Горизонт,http://2013.beatfilmfestival.ru/movies/teenage/,Кинопоказ,Документальное,
14,Лондон - современный вавилон,Нарезка хроник и фильмов,10.06.2013 19:00,,Центр документального кино,http://2013.beatfilmfestival.ru/movies/london-the-modern-babylon/,Кинопоказ,Документальное,
15,Гластонбери,Про британский музыкальный фестиваль,11.06.2013 17:30,,Центр документального кино,http://2013.beatfilmfestival.ru/movies/glastonbury/,Кинопоказ,Документальное,
16,Beat Film Festival-2013,Фестиваль документального кино о музыке,6.06.2013,11.06.2013,,http://2013.beatfilmfestival.ru,,Фестиваль,Кино
17,Дизайн упаковки. Сделано в России,Образцы упаковок советского и до-советского периодов,1.06.2013,25.06.2013,Манеж,http://www.afisha.ru/exhibition/84438/,Выставка,Пром-дизайн,
18,"Сны для тех, кто бодрствует",,1.06.2013,24.11.2013,ММСИ на Петровке,http://www.afisha.ru/exhibition/83466/,Выставка,Фото,Инсталяции